delta,n_t,preserve_rate,pairs
0.05,10,0.338,9
0.05,20,0.537,9
0.05,30,0.7,9
0.05,40,0.772,9
0.05,60,0.912,9
0.05,80,0.957,9
0.05,100,0.988,9
0.05,120,0.999,9
0.05,140,1.0,9
0.05,164,1.0,9
0.1,10,0.68,6
0.1,20,0.885,6
0.1,30,0.962,6
0.1,40,0.984,6
0.1,60,1.0,6
0.1,80,1.0,6
0.1,100,1.0,6
0.1,120,1.0,6
0.1,140,1.0,6
0.1,164,1.0,6
0.15,10,0.796,5
0.15,20,0.917,5
0.15,30,0.971,5
0.15,40,0.994,5
0.15,60,1.0,5
0.15,80,1.0,5
0.15,100,1.0,5
0.15,120,1.0,5
0.15,140,1.0,5
0.15,164,1.0,5
0.2,10,0.975,2
0.2,20,1.0,2
0.2,30,1.0,2
0.2,40,1.0,2
0.2,60,1.0,2
0.2,80,1.0,2
0.2,100,1.0,2
0.2,120,1.0,2
0.2,140,1.0,2
0.2,164,1.0,2
0.25,10,0.979,2
0.25,20,0.999,2
0.25,30,1.0,2
0.25,40,1.0,2
0.25,60,1.0,2
0.25,80,1.0,2
0.25,100,1.0,2
0.25,120,1.0,2
0.25,140,1.0,2
0.25,164,1.0,2
