model_a,model_b,diff,abs_diff,cluster_lo,cluster_hi,includes_zero
qwen25_coder_14b,qwen25_coder_32b,0.008689024390243771,0.008689024390243771,-0.024862804878048723,0.04147484756097563,True
deepseek_coder_v2_lite,qwen25_coder_7b,-0.06554878048780466,0.06554878048780466,-0.14285060975609754,0.006143292682926685,True
qwen25_coder_32b,qwen25_coder_7b,0.08460365853658558,0.08460365853658558,0.030331554878048728,0.14025152439024413,False
qwen25_coder_14b,qwen25_coder_7b,0.09329268292682935,0.09329268292682935,0.0420350609756098,0.14681402439024394,False
deepseek_coder_v2_lite,llama31_8b,0.13246951219512215,0.13246951219512215,0.07118140243902438,0.19009527439024398,False
deepseek_coder_v2_lite,qwen25_coder_32b,-0.15015243902439024,0.15015243902439024,-0.21190548780487808,-0.08640625000000013,False
deepseek_coder_v2_lite,qwen25_coder_14b,-0.158841463414634,0.158841463414634,-0.22393673780487822,-0.09922637195121964,False
llama31_8b,qwen25_coder_7b,-0.1980182926829268,0.1980182926829268,-0.2770045731707318,-0.12711890243902435,False
llama31_8b,qwen25_coder_32b,-0.2826219512195124,0.2826219512195124,-0.35153963414634143,-0.21781249999999985,False
llama31_8b,qwen25_coder_14b,-0.29131097560975616,0.29131097560975616,-0.3579344512195123,-0.2193597560975611,False
