term,log_odds_estimate,std_error,odds_ratio,or_ci_lower,or_ci_upper,method,valid_for_inference,p_value,include_in_publication
Intercept,1.3747316201496833,0.01642823425793356,3.954015402446574,3.828726651738356,4.08340402041664,BinomialBayesMixedGLM_VB,True,,True
C(model_id)[T.llama31_8b],-1.0201930325394848,0.03296859936058053,0.3605253403337843,0.33796549068175474,0.38459110354904635,BinomialBayesMixedGLM_VB,True,,True
C(model_id)[T.qwen25_coder_14b],1.8483179685443234,0.052410427147875145,6.349131097765783,5.729300986123424,7.036018145014964,BinomialBayesMixedGLM_VB,True,,True
C(model_id)[T.qwen25_coder_32b],1.6963315447770897,0.050360345715286275,5.45390324882721,4.941284250622207,6.019702396967446,BinomialBayesMixedGLM_VB,True,,True
C(model_id)[T.qwen25_coder_7b],0.6098401838128181,0.0393946476856384,1.8401372915548881,1.7034007164912823,1.9878500807172161,BinomialBayesMixedGLM_VB,True,,True
C(model_id)[T.qwen3_32b],-3.836276022948954,0.040665179889934726,0.02157379224510508,0.019921020951908106,0.023363687682401425,BinomialBayesMixedGLM_VB,True,,True
C(prompt_variant_id)[T.minimal],-0.02896739759343687,0.03281558801346353,0.9714481354973946,0.9109329816732089,1.0359834356068078,BinomialBayesMixedGLM_VB,True,,True
C(prompt_variant_id)[T.professional],-0.01698385988156892,0.03285107054484764,0.9831595528184712,0.9218507377718459,1.0485457858769391,BinomialBayesMixedGLM_VB,True,,True
C(prompt_variant_id)[T.testing_oriented],-0.019164615013743936,0.03284458349518989,0.9810178586819253,0.9198542929923073,1.0462483530105333,BinomialBayesMixedGLM_VB,True,,True
temperature,0.020138661143653612,0.11599483065685254,1.0203428121194353,0.8128479527245316,1.2808046704850575,BinomialBayesMixedGLM_VB,True,,True
